0,order_id,quantity,item_name,choice_description,item_price
747,308,1,Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Guacamole, Lettuce]]",$11.25 
748,308,1,Chips,,$2.15 
749,309,1,Chicken Burrito,"[Roasted Chili Corn Salsa, [Rice, Sour Cream, Cheese, Guacamole]]",$11.25 
750,309,1,Steak Salad Bowl,"[Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce, Guacamole]]",$11.89 
751,310,1,Barbacoa Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]",$8.99 
752,310,1,Side of Chips,,$1.69 
753,311,1,Steak Salad,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Fajita Veggies, Cheese, Lettuce]]",$8.99 
754,311,1,Steak Bowl,"[[Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild)], [Cheese, Fajita Veggies, Lettuce, Sour Cream, Rice, Black Beans]]",$8.99 
755,311,1,Chips and Guacamole,,$3.99 
756,311,1,Carnitas Soft Tacos,"[Fresh Tomato Salsa (Mild), [Rice, Fajita Veggies, Cheese, Lettuce, Black Beans]]",$8.99 
757,312,1,Barbacoa Burrito,"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Lettuce]]",$9.25 
758,312,1,Steak Bowl,"[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream, Lettuce]]",$9.25 
759,312,1,Chips,,$2.15 
760,313,1,Burrito,"[White Rice, Adobo-Marinated and Grilled Steak, [Salsa, Cheese]]",$7.40 
761,313,1,Burrito,"[White Rice, Adobo-Marinated and Grilled Steak, Pinto Beans, [Sour Cream, Salsa, Cheese, Cilantro-Lime Rice]]",$7.40 
762,314,1,Veggie Burrito,"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese]]",$8.75 
763,314,1,Chicken Salad Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Lettuce]]",$8.75 
764,315,1,Barbacoa Crispy Tacos,"[Fresh Tomato Salsa, [Sour Cream, Lettuce]]",$9.25 
765,315,1,Chips and Guacamole,,$4.45 
766,316,1,Chicken Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.25 
767,316,1,Canned Soft Drink,[Sprite],$1.25 
768,317,1,Carnitas Burrito,"[Roasted Chili Corn Salsa, [Rice, Cheese, Guacamole]]",$11.75 
769,317,1,Chicken Crispy Tacos,"[Roasted Chili Corn Salsa, [Rice, Cheese, Guacamole]]",$11.25 
770,317,1,Canned Soft Drink,[Coke],$1.25 
771,318,1,Chips and Guacamole,,$3.99 
772,318,1,Veggie Burrito,"[Fresh Tomato Salsa (Mild), [Cheese, Rice, Pinto Beans, Sour Cream]]",$8.49 
773,319,1,Chicken Bowl,"[Tomatillo-Green Chili Salsa (Medium), Black Beans]",$8.49 
774,319,1,Chicken Bowl,"[Tomatillo-Green Chili Salsa (Medium), Black Beans]",$8.49 
775,319,1,Steak Crispy Tacos,"[Tomatillo-Green Chili Salsa (Medium), Pinto Beans]",$8.99 
776,320,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",$8.75 
777,320,1,Chips,,$2.15 
778,320,1,Canned Soft Drink,[Sprite],$1.25 
779,321,1,Chicken Burrito,"[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Lettuce]]",$8.49 
780,321,1,Canned Soda,[Diet Coke],$1.09 
781,321,1,Bottled Water,,$1.09 
782,322,1,Veggie Soft Tacos,"[Fresh Tomato Salsa, [Black Beans, Cheese, Sour Cream, Lettuce]]",$8.75 
783,322,1,Chips and Tomatillo Green Chili Salsa,,$2.95 
784,322,1,Canned Soft Drink,[Nestea],$1.25 
785,323,1,Steak Bowl,"[Tomatillo Red Chili Salsa, [Rice, Cheese]]",$9.25 
786,323,1,Canned Soft Drink,[Lemonade],$1.25 
787,323,1,Chips,,$2.15 
788,324,1,Chicken Burrito,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Lettuce, Guacamole]]",$11.25 
789,324,1,Canned Soft Drink,[Diet Coke],$1.25 
790,325,1,Chips and Guacamole,,$4.45 
791,325,1,Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese]]",$8.75 
792,325,2,Canned Soft Drink,[Coke],$2.50 
793,326,2,Chips and Guacamole,,$8.90 
794,326,1,Chicken Burrito,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Lettuce]]",$8.75 
795,326,1,Chicken Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Lettuce]]",$8.75 
796,326,1,Chicken Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",$8.75 
797,327,1,Chicken Burrito,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Sour Cream, Guacamole, Lettuce]]",$11.25 
798,327,1,Veggie Burrito,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Sour Cream, Guacamole, Lettuce]]",$11.25 
799,328,1,Chicken Bowl,"[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium)], [Rice, Sour Cream, Guacamole, Lettuce]]",$10.98 
800,328,1,Chips and Guacamole,,$3.99 
801,329,1,Chicken Burrito,"[Fresh Tomato Salsa (Mild), [Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",$10.98 
802,329,1,Chips and Guacamole,,$3.99 
803,330,1,Side of Chips,,$1.69 
804,330,1,Barbacoa Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]",$8.99 
805,331,1,Barbacoa Bowl,"[Tomatillo Red Chili Salsa, [Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese]]",$9.25 
806,331,1,Chicken Bowl,"[Tomatillo Red Chili Salsa, [Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese]]",$8.75 
807,332,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream, Lettuce]]",$8.99 
808,332,1,Canned Soda,[Mountain Dew],$1.09 
809,333,1,Steak Burrito,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Lettuce]]",$9.25 
810,333,1,Chips and Tomatillo Green Chili Salsa,,$2.95 
811,334,1,Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",$8.75 
812,334,1,Steak Burrito,"[Tomatillo Green Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",$9.25 
813,335,1,Chips and Guacamole,,$3.99 
814,335,1,Veggie Burrito,"[Fresh Tomato Salsa (Mild), [Cheese, Rice, Pinto Beans, Sour Cream]]",$8.49 
815,336,1,Chicken Burrito,"[Roasted Chili Corn Salsa, [Rice, Cheese, Sour Cream, Lettuce]]",$8.75 
816,336,1,Chicken Bowl,"[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream, Lettuce]]",$8.75 
817,337,2,Chicken Salad Bowl,"[Tomatillo Green Chili Salsa, [Black Beans, Cheese, Guacamole]]",$22.50 
818,338,1,Chicken Bowl,"[[Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild)], [Rice, Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole]]",$10.98 
819,338,3,Bottled Water,,$3.27 
820,338,1,Chips and Guacamole,,$3.99 
821,338,1,Carnitas Soft Tacos,"[Fresh Tomato Salsa (Mild), [Rice, Pinto Beans, Cheese, Sour Cream]]",$8.99 
822,338,1,Canned Soda,[Coca Cola],$1.09 
823,339,1,Carnitas Bowl,"[Fresh Tomato (Mild), [Guacamole, Sour Cream, Cheese]]",$11.08 
824,340,1,Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",$8.75 
825,340,1,Chips and Guacamole,,$4.45 
826,341,1,Steak Bowl,"[Fresh Tomato (Mild), [Guacamole, Lettuce, Pinto Beans, Rice, Sour Cream, Cheese]]",$11.08 
827,342,1,Chips and Guacamole,,$3.99 
828,342,1,Veggie Burrito,"[Fresh Tomato Salsa (Mild), [Cheese, Pinto Beans, Sour Cream, Rice]]",$8.49 
829,343,2,Chips,,$4.30 
830,343,1,Barbacoa Crispy Tacos,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Black Beans, Cheese]]",$9.25 
831,343,1,Chicken Crispy Tacos,"[Fresh Tomato Salsa, [Rice, Cheese, Lettuce]]",$8.75 
832,343,1,Veggie Bowl,"[Roasted Chili Corn Salsa, [Black Beans, Cheese, Sour Cream, Guacamole]]",$11.25 
833,343,1,Veggie Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]",$11.25 
834,343,1,Carnitas Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",$9.25 
835,344,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Sour Cream]]",$8.49 
836,344,1,Carnitas Burrito,"[Fresh Tomato Salsa (Mild), [Pinto Beans, Rice, Fajita Veggies, Sour Cream]]",$8.99 
837,344,1,Chicken Burrito,"[Fresh Tomato Salsa (Mild), [Pinto Beans, Rice, Sour Cream]]",$8.49 
838,345,1,Chicken Bowl,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",$8.75 
839,345,1,Chips and Tomatillo Red Chili Salsa,,$2.95 
840,345,1,Chips and Guacamole,,$4.45 
841,346,1,Barbacoa Bowl,"[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]",$9.25 
842,346,1,Chips and Roasted Chili Corn Salsa,,$2.95 
843,346,1,Steak Bowl,[Tomatillo Green Chili Salsa],$9.25 
844,346,1,Veggie Bowl,"[Roasted Chili Corn Salsa, Fajita Vegetables]",$8.75 
845,347,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Guacamole]]",$11.25 
846,347,1,Chips and Guacamole,,$4.45 
847,348,2,Veggie Bowl,"[Fresh Tomato Salsa (Mild), [Rice, Sour Cream, Cheese, Pinto Beans]]",$16.98 
848,349,1,Veggie Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Black Beans, Rice, Cheese]]",$8.49 
849,349,1,Chips and Fresh Tomato Salsa,,$2.39 
850,350,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]",$11.25 
851,350,3,Canned Soft Drink,[Sprite],$3.75 
852,351,1,Carnitas Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Pinto Beans, Lettuce]]",$9.25 
853,351,1,Chips and Guacamole,,$4.45 
854,352,1,Barbacoa Burrito,"[Roasted Chili Corn Salsa, [Rice, Pinto Beans, Sour Cream, Cheese]]",$9.25 
855,352,1,Barbacoa Burrito,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Sour Cream, Cheese]]",$9.25 
856,352,1,Chips and Guacamole,,$4.45 
857,353,1,Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Sour Cream, Lettuce]]",$8.75 
858,353,1,Barbacoa Soft Tacos,"[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Sour Cream]]",$9.25 
859,354,1,Chicken Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Lettuce]]",$8.75 
860,354,1,Barbacoa Burrito,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Lettuce]]",$9.25 
861,355,1,Steak Burrito,"[Roasted Chili Corn Salsa, [Rice, Fajita Vegetables, Sour Cream, Cheese, Lettuce]]",$9.25 
862,355,1,Steak Burrito,"[Tomatillo Green Chili Salsa, [Rice, Fajita Vegetables, Black Beans, Cheese]]",$9.25 
863,356,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Sour Cream, Guacamole, Lettuce]]",$11.48 
864,356,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Sour Cream, Lettuce]]",$8.99 
865,357,2,Chicken Salad Bowl,"[Fresh Tomato Salsa, [Black Beans, Cheese, Guacamole]]",$22.50 
866,358,1,Carnitas Burrito,"[Roasted Chili Corn Salsa, [Cheese, Rice, Guacamole]]",$11.75 
867,358,1,Chicken Crispy Tacos,"[Roasted Chili Corn Salsa, [Rice, Cheese, Guacamole]]",$11.25 
868,358,1,Canned Soft Drink,[Coke],$1.25 
869,359,1,Chicken Bowl,"[Tomatillo Green Chili Salsa, [Rice, Pinto Beans, Sour Cream, Lettuce]]",$8.75 
870,359,1,Chips,,$2.15 
871,359,1,Canned Soft Drink,[Diet Coke],$1.25 
872,360,1,Chicken Bowl,"[Tomatillo Red Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]",$11.25 
873,360,1,Chicken Soft Tacos,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese]]",$8.75 
874,360,1,Canned Soft Drink,[Sprite],$1.25 
875,361,1,Veggie Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Sour Cream, Guacamole]]",$11.25 
876,361,1,Bottled Water,,$1.50 
877,362,1,Chicken Soft Tacos,"[Fresh Tomato Salsa, [Cheese, Sour Cream, Guacamole, Lettuce]]",$11.25 
878,362,1,Chicken Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Pinto Beans, Sour Cream, Guacamole]]",$11.25 
879,363,1,Barbacoa Burrito,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream]]",$9.25 
880,363,1,6 Pack Soft Drink,[Coke],$6.49 
881,363,2,Chips and Guacamole,,$8.90 
882,364,1,Chicken Bowl,"[Tomatillo Green Chili Salsa, [Rice, Cheese, Sour Cream, Lettuce]]",$8.75 
883,364,1,Chips and Guacamole,,$4.45 
884,365,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce, Guacamole]]",$11.25 
885,365,1,Canned Soft Drink,[Diet Coke],$1.25 
886,366,2,Chicken Crispy Tacos,[Tomatillo Red Chili Salsa],$17.50 
887,366,1,Steak Burrito,[Tomatillo Red Chili Salsa],$9.25 
888,367,1,Veggie Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Lettuce]]",$8.75 
889,367,1,Barbacoa Burrito,"[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.75 
890,367,2,Bottled Water,,$3.00 
891,368,1,Chicken Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",$8.49 
892,368,1,Veggie Burrito,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]",$8.49 
893,369,1,Chicken Bowl,"[Fresh Tomato Salsa (Mild), [Rice, Fajita Veggies, Sour Cream, Guacamole]]",$10.98 
894,369,1,Steak Salad,"[Fresh Tomato Salsa (Mild), [Rice, Cheese, Sour Cream, Lettuce]]",$8.99 
895,369,1,Chips and Guacamole,,$3.99 
896,370,1,Chicken Burrito,"[Tomatillo Green Chili Salsa, [Rice, Cheese, Sour Cream, Lettuce]]",$8.75 
897,370,1,Chips and Guacamole,,$4.45 
898,371,1,Steak Burrito,"[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Sour Cream]]",$8.99 
899,371,1,Side of Chips,,$1.69 
900,372,1,Steak Bowl,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.75 
901,372,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream]]",$8.75 
902,373,1,Veggie Bowl,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]",$11.25 
903,373,1,Chips and Guacamole,,$4.45 
904,374,1,Barbacoa Burrito,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Sour Cream, Guacamole, Lettuce]]",$11.75 
905,374,1,Canned Soft Drink,[Coke],$1.25 
906,375,1,Steak Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole]]",$11.75 
907,375,1,Chips and Roasted Chili Corn Salsa,,$2.95 
908,376,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",$8.99 
909,376,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",$8.99 
910,376,2,Canned Soda,[Mountain Dew],$2.18 
911,377,2,Steak Bowl,"[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Cheese]]",$17.98 
912,377,1,Steak Burrito,"[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Cheese]]",$8.99 
913,378,1,Chicken Burrito,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]",$8.49 
914,378,1,Side of Chips,,$1.69 
915,379,1,Steak Burrito,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.75 
916,379,1,Chicken Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.25 
917,379,1,Chips and Tomatillo Green Chili Salsa,,$2.95 
918,379,3,Canned Soft Drink,[Lemonade],$3.75 
919,379,1,Steak Crispy Tacos,"[Roasted Chili Corn Salsa, [Cheese, Sour Cream, Lettuce]]",$9.25 
920,380,1,Barbacoa Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.75 
921,380,1,Chicken Bowl,"[Roasted Chili Corn Salsa, [Rice, Cheese, Sour Cream, Lettuce]]",$8.75 
922,380,1,Chips,,$2.15 
923,380,1,Bottled Water,,$1.50 
924,381,1,Chicken Soft Tacos,"[Tomatillo-Red Chili Salsa (Hot), Cheese]",$8.49 
925,381,1,Chicken Soft Tacos,"[Tomatillo-Red Chili Salsa (Hot), Cheese]",$8.49 
926,381,1,Nantucket Nectar,[Pomegranate Cherry],$3.39 
927,382,1,Steak Bowl,"[Fresh Tomato (Mild), [Lettuce, Black Beans, Rice, Cheese]]",$8.69 
928,382,1,Chips and Guacamole,,$3.89 
929,383,1,Chicken Bowl,"[Tomatillo Green Chili Salsa, [Rice, Cheese, Sour Cream, Lettuce]]",$8.75 
930,383,1,Chips and Guacamole,,$4.45 
931,384,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",$8.75 
932,384,1,Veggie Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Guacamole, Lettuce]]",$11.25 
933,384,1,Chips,,$2.15 
934,384,1,Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce]]",$8.75 
935,385,1,Chicken Bowl,"[Fresh Tomato Salsa (Mild), [Pinto Beans, Rice, Cheese, Sour Cream, Lettuce]]",$8.49 
936,385,1,Side of Chips,,$1.69 
937,386,1,Veggie Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Black Beans, Rice, Fajita Veggies, Cheese]]",$8.49 
938,386,1,Chicken Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",$8.49 
939,387,1,Canned Soft Drink,[Lemonade],$1.25 
940,387,1,Chicken Burrito,"[Roasted Chili Corn Salsa, [Rice, Fajita Vegetables, Sour Cream, Cheese, Lettuce]]",$8.75 
941,387,1,Steak Burrito,"[Roasted Chili Corn Salsa, [Rice, Fajita Vegetables, Cheese, Lettuce, Guacamole]]",$11.75 
942,387,1,Steak Burrito,"[Roasted Chili Corn Salsa, [Rice, Fajita Vegetables, Sour Cream, Lettuce, Guacamole]]",$11.75 
943,388,1,Steak Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Rice, Cheese, Sour Cream]]",$8.99 
944,388,1,Bottled Water,,$1.09 
945,389,1,Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Sour Cream]]",$8.75 
946,389,1,Chips and Guacamole,,$4.45 
947,389,1,Chicken Crispy Tacos,"[Fresh Tomato Salsa, Lettuce]",$8.75 
948,389,1,Chips and Fresh Tomato Salsa,,$2.95 
949,389,1,Chicken Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream]]",$8.75 
950,389,1,Chips,,$2.15 
951,390,1,Chips and Guacamole,,$3.99 
952,390,1,Chicken Burrito,"[Fresh Tomato Salsa (Mild), [Rice, Cheese, Sour Cream, Lettuce]]",$8.49 
953,391,1,Steak Bowl,"[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium)], [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",$8.99 
954,391,1,Chips and Guacamole,,$3.99 
955,392,1,Chicken Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese]]",$8.49 
956,392,1,Side of Chips,,$1.69 
957,392,1,Canned Soda,[Coca Cola],$1.09 
958,393,1,Steak Burrito,"[Fresh Tomato Salsa (Mild), [Pinto Beans, Rice, Cheese, Sour Cream, Lettuce]]",$8.99 
959,393,1,Canned Soda,[Sprite],$1.09 
960,394,1,Carnitas Burrito,"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese]]",$9.25 
961,394,1,Veggie Salad Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Lettuce]]",$8.75 
962,395,1,Steak Soft Tacos,"[Tomatillo-Red Chili Salsa (Hot), [Cheese, Sour Cream, Lettuce]]",$8.99 
963,395,1,Chips and Fresh Tomato Salsa,,$2.39 
964,396,1,Canned Soft Drink,[Diet Coke],$1.25 
965,396,1,Canned Soft Drink,[Coke],$1.25 
966,396,1,Chicken Burrito,"[Fresh Tomato Salsa, [Fajita Vegetables, Sour Cream, Cheese, Guacamole]]",$11.25 
967,396,1,Chicken Soft Tacos,"[Fresh Tomato Salsa, [Sour Cream, Cheese, Guacamole]]",$11.25 
968,397,1,Steak Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",$9.25 
969,397,1,Steak Soft Tacos,"[Fresh Tomato Salsa, [Cheese, Sour Cream]]",$9.25 
970,398,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Lettuce, Guacamole]]",$11.25 
971,398,1,Bottled Water,,$1.50 
972,399,1,Chips and Guacamole,,$3.99 
973,399,1,Veggie Burrito,"[Fresh Tomato Salsa (Mild), [Rice, Pinto Beans, Cheese, Sour Cream]]",$8.49 
974,400,1,Veggie Burrito,"[Tomatillo Green Chili Salsa, [Rice, Fajita Vegetables, Pinto Beans, Sour Cream, Cheese, Lettuce, Guacamole]]",$11.25 
975,400,1,Carnitas Burrito,[Tomatillo Red Chili Salsa],$9.25 
976,400,1,Chicken Bowl,"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Lettuce, Guacamole]]",$11.25 
977,401,2,Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Lettuce]]",$17.50 
978,402,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Lettuce]]",$8.75 
979,402,2,Chips and Guacamole,,$8.90 
980,402,1,Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",$8.75 
981,402,1,Chicken Bowl,"[Tomatillo Green Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",$8.75 
982,403,1,Barbacoa Burrito,"[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Cheese, Sour Cream]]",$8.99 
983,403,1,Chips and Tomatillo-Green Chili Salsa,,$2.39 
984,404,1,Chicken Burrito,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Pinto Beans, Cheese, Guacamole, Lettuce]]",$11.25 
985,404,1,Carnitas Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Lettuce]]",$9.25 
986,404,1,Chips,,$2.15 
987,405,1,Chicken Burrito,"[Fresh Tomato Salsa, [Fajita Vegetables, Pinto Beans, Cheese, Guacamole]]",$11.25 
988,405,1,Canned Soft Drink,[Diet Coke],$1.25 
989,406,1,Barbacoa Soft Tacos,"[Tomatillo Red Chili Salsa, [Black Beans, Cheese, Sour Cream, Guacamole]]",$11.75 
990,406,1,Canned Soft Drink,[Diet Coke],$1.25 
991,407,1,Chicken Burrito,"[Roasted Chili Corn Salsa, [Rice, Sour Cream, Cheese, Guacamole]]",$11.25 
992,407,1,Steak Burrito,"[Roasted Chili Corn Salsa, [Rice, Sour Cream, Cheese, Guacamole]]",$11.75 
993,408,1,Canned Soft Drink,[Coke],$1.25 
994,408,1,Chicken Bowl,"[Tomatillo Green Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]",$11.25 
995,408,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Fajita Vegetables, Pinto Beans, Sour Cream, Cheese, Lettuce, Guacamole]]",$11.25 
996,409,1,Chicken Bowl,"[[Fresh Tomato Salsa (Mild), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Cheese, Sour Cream]]",$8.49 
997,409,1,Chicken Bowl,"[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Sour Cream, Guacamole]]",$10.98 
998,410,1,Chicken Burrito,"[Roasted Chili Corn Salsa, [Rice, Black Beans]]",$8.75 
999,410,1,Canned Soft Drink,[Diet Coke],$1.25 
1000,410,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, [Black Beans, Lettuce]]",$8.75 
1001,411,1,Chicken Bowl,"[Roasted Chili Corn Salsa (Medium), [Rice, Cheese]]",$8.49 
1002,411,1,Chicken Bowl,"[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]",$8.49 
1003,412,1,Bottled Water,,$1.50 
1004,412,1,Bottled Water,,$1.50 
1005,412,1,Chicken Bowl,"[Fresh Tomato Salsa, [Rice, Sour Cream, Cheese, Lettuce]]",$8.75 
1006,412,1,Chips and Guacamole,,$4.45 
1007,413,1,Chicken Crispy Tacos,"[Fresh Tomato Salsa, [Cheese, Sour Cream, Guacamole, Lettuce]]",$11.25 
1008,413,1,Canned Soft Drink,[Coke],$1.25 
1009,413,1,Carnitas Crispy Tacos,"[Tomatillo Green Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]",$11.75 
1010,414,1,Chicken Burrito,"[[Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium)], [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream]]",$8.49 
1011,414,1,Chips and Tomatillo-Green Chili Salsa,,$2.39 
1012,415,1,Steak Bowl,"[Tomatillo Green Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]",$9.25 
